AABBCCDdeeffgghh,2233856047590204838586399954592673878299996619269305870309130240.00000000
AABBCCddEEFFGGHH,257944810584381314243585862765889644920832.00000000
AABBCCddEEFFGGHh,351123115966963493036012047346048666087456768.00000000
AABBCCddEEFFGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCCddEEFFGgHH,351123115966963493036012047346048666087456768.00000000
AABBCCddEEFFGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCCddEEFFGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEFFggHH,477960546238703073718944485978412115190744088576.00000000
AABBCCddEEFFggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEFFgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEEFfGGHH,351123115966963493036012047346048666087456768.00000000
AABBCCddEEFfGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCddEEFfGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEFfGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCddEEFfGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEFfGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEEFfggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEFfggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEEFfgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEEffGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCCddEEffGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEffGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEEffGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEEffGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEEffGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEEffggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEEffggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEEffgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddEeFFGGHH,351123115966963493036012047346048666087456768.00000000
AABBCCddEeFFGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCCddEeFFGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEeFFGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCCddEeFFGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEeFFGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeFFggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEeFFggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeFFgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEeFfGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCCddEeFfGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEeFfGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeFfGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEeFfGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeFfGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEeFfggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeFfggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEeFfgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddEeffGGHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddEeffGGHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeffGGhh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEeffGgHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddEeffGgHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEeffGghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddEeffggHH,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddEeffggHh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddEeffgghh,2233856047590204838586399954592673878299996619269305870309130240.00000000
AABBCCddeeFFGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCCddeeFFGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCCddeeFFGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddeeFFGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddeeFFGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddeeFFGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeFFggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddeeFFggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeFFgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddeeFfGGHH,650615904713871043653256208845786282307488086753280.00000000
AABBCCddeeFfGGHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddeeFfGGhh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeFfGgHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddeeFfGgHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeFfGghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddeeFfggHH,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeFfggHh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddeeFfgghh,2233856047590204838586399954592673878299996619269305870309130240.00000000
AABBCCddeeffGGHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCCddeeffGGHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeffGGhh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddeeffGgHH,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCCddeeffGgHh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddeeffGghh,2233856047590204838586399954592673878299996619269305870309130240.00000000
AABBCCddeeffggHH,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCCddeeffggHh,2233856047590204838586399954592673878299996619269305870309130240.00000000
AABBCCddeeffgghh,3040799674451801075011194404936234039826814838410673565362622038016.00000000
AABBCcDDEEFFGGHH,189493434871637893042809109267343212544.00000000
AABBCcDDEEFFGGHh,257944810584381314243585862765889644920832.00000000
AABBCcDDEEFFGGhh,351123115966963493036012047346048666087456768.00000000
AABBCcDDEEFFGgHH,257944810584381314243585862765889644920832.00000000
AABBCcDDEEFFGgHh,351123115966963493036012047346048666087456768.00000000
AABBCcDDEEFFGghh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEEFFggHH,351123115966963493036012047346048666087456768.00000000
AABBCcDDEEFFggHh,477960546238703073718944485978412115190744088576.00000000
